Change Component Comment : Designator=L1 Old Comment=CBC2012T100M New Comment=10uH
Change Managed Component Library Link : Designator=L3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=8DB1645B-1C26-45E7-B112-FB81C936C57C New ItemGUID=732C965F-D139-4EFB-BE9C-35A9CF3F34EE Old RevisionGUID=1D16370A-58AA-4BA7-9069-AECB76152094 New RevisionGUID=3A6ED5D0-0BBA-48EB-8957-3B8986E579F7
Change component parameters: Designator = "L3" ("L3"); Footprint = "FP-LB2518-1_8-0_2-IPC_A"; UniqueID = "\HHBBVKTE" ("\HHBBVKTE")
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistor Type"; Value = "Wirewound"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "68MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "LB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Unshielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Frequency"; Value = "7.96MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.8mm"; VariantName = "[No Variations]"
Added Component: Designator=L?(WE-TPC_5818)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "95°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "2323"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "5858"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "2323"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Wirewound"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Core Material"; Value = "Ferrite"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current Rating"; Value = "1.45A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DC Resistance (DCR)"; Value = "70mO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "5.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "2.0066mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance"; Value = "6.2µH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Inductance Tolerance"; Value = "30%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "5.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max DC Current"; Value = "1.45A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "NexarPartId"; Value = "22866864"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Cut Tape (CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RMS Current (Irms)"; Value = "1.45A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Saturation Current"; Value = "1.6A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Self Resonant Frequency"; Value = "45MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Frequency"; Value = "100kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "30%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "248.001628mg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "5.8mm"; VariantName = "[No Variations]"
